Estimate Status,Year,State,Fishing Area,Angler Trips,PSE
FINAL,1981,ALABAMA,OCEAN (<= 3 MI),292487,19.3
FINAL,1981,ALABAMA,OCEAN (> 3 MI),226717,26.6
FINAL,1981,ALABAMA,INLAND,38401,35.8
FINAL,1981,FLORIDA,OCEAN (<= 10 MI),5096527,17.3
FINAL,1981,FLORIDA,OCEAN (> 10 MI),1708050,17.3
FINAL,1981,FLORIDA,INLAND,1394597,32.1
FINAL,1981,LOUISIANA,OCEAN (<= 3 MI),368588,56.7
FINAL,1981,LOUISIANA,OCEAN (> 3 MI),596078,37.7
FINAL,1981,LOUISIANA,INLAND,1830603,11
FINAL,1981,MISSISSIPPI,OCEAN (<= 3 MI),17397,34.8
FINAL,1981,MISSISSIPPI,OCEAN (> 3 MI),168046,15.2
FINAL,1981,MISSISSIPPI,INLAND,415716,7.3
FINAL,1982,ALABAMA,OCEAN (<= 3 MI),340916,10.7
FINAL,1982,ALABAMA,OCEAN (> 3 MI),113362,28.3
FINAL,1982,ALABAMA,INLAND,58215,23.6
FINAL,1982,FLORIDA,OCEAN (<= 10 MI),6413583,7.5
FINAL,1982,FLORIDA,OCEAN (> 10 MI),1220869,16.6
FINAL,1982,FLORIDA,INLAND,1672335,14.7
FINAL,1982,LOUISIANA,OCEAN (<= 3 MI),569802,18.5
FINAL,1982,LOUISIANA,OCEAN (> 3 MI),698582,19.1
FINAL,1982,LOUISIANA,INLAND,2180308,8.9
FINAL,1982,MISSISSIPPI,OCEAN (<= 3 MI),45149,24.4
FINAL,1982,MISSISSIPPI,OCEAN (> 3 MI),319427,13.1
FINAL,1982,MISSISSIPPI,INLAND,326889,11.9
FINAL,1983,ALABAMA,OCEAN (<= 3 MI),194347,14.4
FINAL,1983,ALABAMA,OCEAN (> 3 MI),305087,9.3
FINAL,1983,ALABAMA,INLAND,34140,74.8
FINAL,1983,FLORIDA,OCEAN (<= 10 MI),6575996,11.1
FINAL,1983,FLORIDA,OCEAN (> 10 MI),1982772,24.1
FINAL,1983,FLORIDA,INLAND,2094968,19.9
FINAL,1983,LOUISIANA,OCEAN (<= 3 MI),894837,20.4
FINAL,1983,LOUISIANA,OCEAN (> 3 MI),967930,17.3
